                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6115,                 7.0313,                 3.6537,                 0.0003,                0.04167,                0.00019,                  4e-05,                 3.3165,                 6.1747,                 3.5231,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.2836,                 6.8808,                 3.3651,                0.00152,                0.20833,                0.00159,                0.00031,                 3.1674,                 6.1313,                 3.3889,             0.00012614,             0.00012614,             0.00012614
                      3,                 3.0825,                 6.3067,                 3.1294,                0.00152,                0.20833,                0.00326,                0.00039,                 3.5057,                 5.8768,                 3.5681,             0.00017644,             0.00017644,             0.00017644
                      4,                 2.9962,                 6.0873,                 2.9941,                0.00121,                0.16667,                0.00268,                0.00056,                 3.4025,                 5.6793,                 3.4403,              0.0002109,              0.0002109,              0.0002109
                      5,                 2.9171,                 5.6375,                 2.8698,                0.00091,                  0.125,                0.00132,                0.00023,                 3.4563,                 5.7344,                 3.4659,             0.00022952,             0.00022952,             0.00022952
                      6,                 2.8136,                 5.8811,                 2.7864,                0.00091,                  0.125,                0.00109,                0.00018,                  3.482,                 5.7874,                 3.4934,              0.0002323,              0.0002323,              0.0002323
                      7,                 2.7918,                 5.4027,                 2.7816,                0.00091,                  0.125,                0.00122,                0.00019,                 3.4172,                 5.8638,                 3.4455,             0.00021924,             0.00021924,             0.00021924
                      8,                 2.8847,                 5.5071,                 2.8975,                0.00133,                0.16667,                0.00179,                0.00027,                 3.3446,                 5.7909,                 3.3859,             0.00019034,             0.00019034,             0.00019034
                      9,                 2.6566,                 5.4657,                 2.7373,                0.00152,                0.20833,                0.00178,                0.00039,                 3.3279,                 5.8095,                 3.3343,              0.0001456,              0.0001456,              0.0001456
                     10,                 2.6407,                 5.2934,                   2.69,                0.00152,                0.20833,                0.00152,                0.00028,                    3.3,                 5.9152,                 3.3035,              8.502e-05,              8.502e-05,              8.502e-05
